total_setsize,dcolor,RT,SEM,plot_color
2,1,877.6236815152686,49.48653155203727,1
2,2,724.958719499774,28.653705670076352,2
2,3,749.2018907255895,33.8711608322006,3
4,1,1117.1442012997786,47.20921697105309,1
4,2,840.525566504926,31.64069246780001,2
4,3,856.6304553636096,37.7615158027382,3
8,1,1449.3679042566207,56.798078259743185,1
8,2,950.7204867629295,32.74007512937832,2
8,3,981.5868757170618,32.563535280921315,3
1,1,652.3030326585902,27.94979095309651,99
1,2,652.3030326585902,27.94979095309651,99
1,3,652.3030326585902,27.94979095309651,99
