total_setsize,dcolor,RT,plot_color
1,1,551,99
2,1,553,1
4,1,557,1
6,1,561,1
1,2,738,99
2,2,814,2
4,2,966,2
6,2,1118,2
1,3,551,99
2,3,553,3
4,3,557,3
6,3,561,3
,,,
,,,
,,,
,,,
