total_setsize,dcolor,RT,SEM,plot_color
2,1,951.8217015083032,33.020567152200485,1
2,2,755.0494347744941,28.101192922557082,2
2,3,757.5185617647062,25.29116180805688,3
4,1,1257.059778314038,40.93933749402489,1
4,2,834.4620982522902,32.14875980428321,2
4,3,834.8953466541072,26.209695503779944,3
8,1,1592.533446739632,47.601272660696296,1
8,2,909.5285305824937,30.066627720522856,2
8,3,905.4142283642528,23.863366062362957,3
16,1,2157.018361338704,60.552574244112485,1
16,2,998.3055071585391,31.091570124134222,2
16,3,1027.5962199648975,34.10598409123498,3
1,1,674.5789723731159,33.497207553000706,99
1,2,674.5789723731159,33.497207553000706,99
1,3,674.5789723731159,33.497207553000706,99
